uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url;;
"0dd88e69-835c-4111-a8b2-f6b51ae1e5f1,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One double scoop choc dipped waffle cone,""Buy one, get one free"",One COMPLIMENTARY DOUBLE SCOOP CHOC DIPPED WAFFLE CONE when another DOUBLE SCOOP CHOC DIPPED WAFFLE CONE of equal or greater value is purchased,https://www.benandjerry.com.au/,""With over 20 """"legendairy"""" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday."",""• Surfers Paradise location is excluded from this offer";;
"• Available at participating Ben and Jerry's Scoop shops only! including Hoyts locations"",""410 Mains Road, Sunnybank QLD 4109, Australia"",Sunnybank,QLD,+61733399723,-27.569072,153.064548,https://www.entertainment.com.au/offer-details/0dd88e69-835c-4111-a8b2-f6b51ae1e5f1";;
"f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One hand packed pint,""Buy one, get one free"",One COMPLIMENTARY HAND PACKED PINT when another HAND PACKED PINT of equal or greater value is purchased,https://www.benandjerry.com.au/,""With over 20 """"legendairy"""" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday."",""• Surfers Paradise location is excluded from this offer";;
"• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations"",""410 Mains Road, Sunnybank QLD 4109, Australia"",Sunnybank,QLD,+61733399723,-27.569072,153.064548,https://www.entertainment.com.au/offer-details/f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0";;
"524b941d-25b2-44db-8c1c-46e182d6853a,Informal Dining and Takeaway,Food and Drink,Banjo's Bakery Cafe,One bread product,""Buy one, get one free"",One complimentary BREAD PRODUCT when another BREAD PRODUCT of equal or greater value is purchased,https://banjos.com.au/,,,""17-25 Park Ridge Road, Park Ridge QLD 4125, Australia"",Park Ridge,QLD,+61742812820,-27.6992317,153.0408932,https://www.entertainment.com.au/offer-details/524b941d-25b2-44db-8c1c-46e182d6853a";;
"eba4e9cc-ab6d-4c7f-b022-58ea15ebf607,Informal Dining and Takeaway,Takeaway,The Cheesecake Shop AU,Up to $10,Enjoy 25% off,25% off the TOTAL BILL,https://www.cheesecake.com.au/,""Famous for their delicious range of cheesecakes, mudcakes, tortes and desserts, that are perfect for any occasion. Whether it is a quarter for a daily treat, dessert for the family or a special celebration cake for that important milestone, The Cheesecake Shop can help. Baked in-store, made with love, open 7 days. Visit www.cheesecake.com.au/find-bakery for your nearest bakery."",""• Offer is not available for vegan cakes, gluten free cakes and pre-order cakes";;
• Offer is redeemable in-store only and is not redeemable on The Cheesecake Shop website;;
• Not to be used with any other offer;;
"• Offer not available for use on public holidays/optional days as per Entertainment Rules of Use"",""Shop 6, 99 Wharf Street, Tweed Heads NSW 2485, Australia"",Tweed Heads,NSW,,-28.174524,153.541912,https://www.entertainment.com.au/offer-details/eba4e9cc-ab6d-4c7f-b022-58ea15ebf607";;
"a627d95c-06fa-4183-985a-c6c37ba0a7d7,Informal Dining and Takeaway,Takeaway,San Churro,Up to $20,""Buy one, get one free"",One complimentary Small Churros when another Small Churros of equal or greater value is purchased,https://www.sanchurro.com/,""San Churro is Australia's favourite chocolate café. Like the chocolaterias of Spain, San Churro is a place where friends can come together to share, celebrate and indulge! Enjoy Churros (Spanish doughnuts) made fresh-to-order, served with couverture chocolate, or decadent desserts, premium chocolate shakes, traditional Spanish hot chocolate, and more."",""• Buy One Get One Free Offer applies to full priced Small Churros For One, valid to redeem at any San Churro location for entertainment group customers.";;
• 100% discount is applied to the second Small Churros For One purchased within the same transaction.;;
• Extras charged at additional cost.;;
"• Not to be used in conjunction with any other offer or discount. Offer available in-store at the counter only, offer not available for delivery orders."",""47/48 Circle on Cavill, 3184 Surfers Paradise Boulevard, Surfers Paradise QLD 4217, Australia"",Surfers Paradise,QLD,+61755706019,-28.001194,153.428212,https://www.entertainment.com.au/offer-details/a627d95c-06fa-4183-985a-c6c37ba0a7d7";;
"7a6123b4-7f19-4111-94f7-fbc14773bc28,Informal Dining and Takeaway,Takeaway,Baskin-Robbins,One 1 scoop waffle cone,""Buy one, get one free"",One 1 SCOOP WAFFLE CONE when another 1 SCOOP WAFFLE CONE of equal or greater value is purchased,https://www.baskinrobbins.com.au/,,,""Tenancy 1, H-0 Village Square , 18  Commerce Drive, Browns Plains QLD 4118, Australia"",Browns Plains,QLD,,-28.120136,153.452311,https://www.entertainment.com.au/offer-details/7a6123b4-7f19-4111-94f7-fbc14773bc28";;
"6e23abe8-c94d-44f7-89d8-9a6792ec8f91,Informal Dining and Takeaway,Cafe,Coolabah Tree Cafe,One coffee,""Buy one, get one free"",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,https://www.ctcafe.com.au/,Coolabah Tree Café offers a huge range of healthy burgers and delicious Barista made coffee. Visit our restaurant today with your friends & family for amazing fast food.,• (Valid for dine-in and takeaway),""227 Boundary Road, Goondiwindi QLD 4390, Australia"",Goondiwindi,QLD,,-28.52839724664084,150.31104696192628,https://www.entertainment.com.au/offer-details/6e23abe8-c94d-44f7-89d8-9a6792ec8f91";;
"622c9221-aec0-4432-8f60-1770b730cf07,Informal Dining and Takeaway,Takeaway,Royal Copenhagen,One ice cream cone,""Buy one, get one free"",One complimentary ICE CREAM CONE when another ICE CREAM CONE of equal or greater value is purchased,www.rcicecream.com.au,Freshly made premium ice cream in their original baked waffle cone. Free choc-dipping of your cone. Free cream and toppings.,""• Valid at QLD, NSW and SA stores only."",""Paradise Centre Shop 204, Corner Cavill Avenue and Paradise Centre, Surfers Paradise QLD 4217, Australia"",Surfers Paradise,QLD,,-28.001639,153.426776,https://www.entertainment.com.au/offer-details/622c9221-aec0-4432-8f60-1770b730cf07";;
"ecc0f3d8-c738-4ee5-b15d-6bfa19869e15,Informal Dining and Takeaway,Contemporary,Good Lookin Rooster,25% off,Enjoy 25% off,25% off the FAMILY FEEDER PACK,https://goodlookinrooster.com.au/,""We’re serious about chicken that delivers flavour in every bite. Our free range rotisserie chickens are seasoned with locally sourced ingredients then cooked to perfection. Our salads kick traditional ‘side dishes’ to the curb. Prepared daily with the best seasonal produce, this delicious range of green goodness takes fresh flavors to the next level. View the GLR menu and enjoy a new experience in chook and greens, without those fast food guilts."",""• Valid for dine-in and takeaway";;
"• Valid on all optional days"",""36 Baroona Road, Milton QLD 4064, Australia"",Milton,QLD,,-27.4683876,153.0023184,https://www.entertainment.com.au/offer-details/ecc0f3d8-c738-4ee5-b15d-6bfa19869e15";;
"4f572da9-dd22-486c-a162-5394ed579786,Informal Dining and Takeaway,Middleeastern,Yumm! Kebab,25% off,Enjoy 25% off,25% off the TOTAL BILL,https://yummkebabs.com.au/,""Fresh, Authentic, and Delicious!";;
;;
"At YUMM KEBAB, we provide high-quality meals and invite you to sample our delectable cuisine."",• Valid on food and drink,""328 Gympie Road, Strathpine QLD 4500, Australia"",Strathpine,QLD,+61738897882,-27.305867582618408,152.9885804491466,https://www.entertainment.com.au/offer-details/4f572da9-dd22-486c-a162-5394ed579786";;
"3ad43cfa-c665-40d9-899d-8733052c01b6,Informal Dining and Takeaway,Takeaway,Brooklyn Donut & Coffee Co,One hot beverage,""Buy one, get one free"",One complimentary HOT BEVERAGE when another HOT BEVERAGE of equal or greater value is purchased,,,,""Westfield Chermside, Corner Gympie Road & Hamilton Road, Chermside QLD 4032, Australia"",Chermside,QLD,+61730844530,-27.383201,153.031806,https://www.entertainment.com.au/offer-details/3ad43cfa-c665-40d9-899d-8733052c01b6";;
"6bcf9cee-0b7e-49b7-ab9c-d47b4f37bf06,Informal Dining and Takeaway,Takeaway,Brooklyn Donut & Coffee Co,One donut,""Buy one, get one free"",One complimentary DONUT when another DONUT of equal or greater value is purchased,,,,""Westfield Chermside, Corner Gympie Road & Hamilton Road, Chermside QLD 4032, Australia"",Chermside,QLD,+61730844530,-27.383201,153.031806,https://www.entertainment.com.au/offer-details/6bcf9cee-0b7e-49b7-ab9c-d47b4f37bf06";;
"623fc8c2-8981-48f6-a2b0-d33db842739b,Informal Dining and Takeaway,Cafe,Butter Meets Sugar,One new york cookie,""Buy one, get one free"",One complimentary NEW YORK COOKIE when another NEW YORK COOKIE of equal or greater value is purchased,https://www.buttermeetssugar.com.au/,,,""Shop 5, 112 Birkdale Road, Birkdale QLD 4159, Australia"",Birkdale,QLD,,-27.495144875100017,153.2123752975264,https://www.entertainment.com.au/offer-details/623fc8c2-8981-48f6-a2b0-d33db842739b";;
"1dbfdacc-2e30-430f-b3e1-c1ff321540a4,Informal Dining and Takeaway,Cafe,Butter Meets Sugar,One cupcake,""Buy one, get one free"",One complimentary CUPCAKE when another CUPCAKE of equal or greater value is purchased,https://www.buttermeetssugar.com.au/,,,""Shop 5, 112 Birkdale Road, Birkdale QLD 4159, Australia"",Birkdale,QLD,,-27.495144875100017,153.2123752975264,https://www.entertainment.com.au/offer-details/1dbfdacc-2e30-430f-b3e1-c1ff321540a4";;
"e7bd9b30-b8f3-456d-9a03-856e2ca4256c,Informal Dining and Takeaway,Takeaway,Carby's Bakehouse,One coffee,""Buy one, get one free"",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,https://www.facebook.com/Carbys-Bakehouse-2023019284640175/,,,""153 Hamilton Road, Wavell Heights QLD 4012, Australia"",Wavell Heights,QLD,+61732665522,-27.389014,153.049245,https://www.entertainment.com.au/offer-details/e7bd9b30-b8f3-456d-9a03-856e2ca4256c";;
"b1aed4ab-0a71-45e4-a990-1fc8493ae02b,Informal Dining and Takeaway,Takeaway,Carby's Bakehouse,One bread loaf,""Buy one, get one free"",One complimentary BREAD LOAF when another BREAD LOAF of equal or greater value is purchased,https://www.facebook.com/Carbys-Bakehouse-2023019284640175/,,,""153 Hamilton Road, Wavell Heights QLD 4012, Australia"",Wavell Heights,QLD,+61732665522,-27.389014,153.049245,https://www.entertainment.com.au/offer-details/b1aed4ab-0a71-45e4-a990-1fc8493ae02b";;
"504b97ff-7952-4fc3-891d-5d485df42cf8,Informal Dining and Takeaway,Takeaway,Fresh Bite Health Bar,One coffee,""Buy one, get one free"",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,https://www.freshbitebar.com.au/,,,""1/599  Brunswick Street, New Farm QLD 4005, Australia"",New Farm,QLD,+61416107870,-27.46296111853,153.04065826237314,https://www.entertainment.com.au/offer-details/504b97ff-7952-4fc3-891d-5d485df42cf8";;
"d73ce3d5-5bb4-49ce-a299-a5e7550008a5,Informal Dining and Takeaway,Contemporary,Good Lookin Rooster,One chicken roll,""Buy one, get one free"",One complimentary CHICKEN ROLL when another CHICKEN ROLL of equal or greater value is purchased,https://goodlookinrooster.com.au/,""We’re serious about chicken that delivers flavour in every bite. Our free range rotisserie chickens are seasoned with locally sourced ingredients then cooked to perfection. Our salads kick traditional ‘side dishes’ to the curb. Prepared daily with the best seasonal produce, this delicious range of green goodness takes fresh flavors to the next level. View the GLR menu and enjoy a new experience in chook and greens, without those fast food guilts."",""• Valid for dine-in and takeaway";;
"• Valid on all optional days"",""36 Baroona Road, Milton QLD 4064, Australia"",Milton,QLD,,-27.4683876,153.0023184,https://www.entertainment.com.au/offer-details/d73ce3d5-5bb4-49ce-a299-a5e7550008a5";;
"7462e74f-b0f6-4115-ae84-ea13e135ac09,Informal Dining and Takeaway,Cafe,Kova Coffee,One coffee,""Buy one, get one free"",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,https://www.facebook.com/kovacoffeebne/,""Your local Brisbane coffee shop located on the north side, bringing you the best quality coffee."",""• When dining alone - ONE COFFEE at 50% off the regular price";;
• Valid for dine-in and takeaway;;
